主類別,次類別,任務,範例提示 (Prompt),關鍵要素與原理
"第 2 節：架構綜合 - 與 AI 夥伴共同設計系統","2.3 AI 驅動的架構視覺化","C4 模型容器圖 (C4 Container Diagram)","請使用 Mermaid.js 的 C4 語法，為一個電子商務系統生成一個容器圖 (Container Diagram)。系統邊界為「網路商店」。容器包括：1. 一個名為「Web App」的 React 單頁應用。2. 一個名為「API Gateway」的後端服務。3. 一個名為「產品服務 (Product Service)」的微服務，使用 Java/Spring Boot。4. 一個名為「訂單服務 (Order Service)」的微服務，使用 Go。5. 一個名為「產品資料庫 (Product DB)」的 PostgreSQL 資料庫。6. 一個名為「訂單資料庫 (Order DB)」的 MongoDB。請描述它們之間的互動關係。","**遵循特定模型語法** (`使用 Mermaid.js 的 C4 語法`)：明確指示 AI 使用特定圖表模型的語法，以獲得標準化的輸出。**定義邊界與容器** (`系統邊界為...`, `容器包括...`)：提供 C4 模型所需的核心元素：系統邊界和其中的容器（可執行的單元）。**描述關係** (`描述它們之間的互動關係`)：定義容器之間的依賴和通訊方式，這是圖表的核心內容。"
"第 2 節：架構綜合 - 與 AI 夥伴共同設計系統","2.3 AI 驅動的架構視覺化","雲端架構圖 (Cloud Architecture Diagram)","請生成一個描述部署在 AWS 上的高可用性 Web 應用的 Mermaid.js 圖表。架構應包含：- 一個 Route 53 DNS。- 一個 Application Load Balancer (ALB)。- 一個 Auto Scaling Group，其中包含多個 EC2 實例。- 這些 EC2 實例運行在不同的可用區 (Availability Zones)。- 一個 RDS PostgreSQL 資料庫，具有主備副本 (Primary/Standby)。請使用 `graph TD` 語法，並將相關元件分組在 VPC 和可用區的子圖中。","**使用圖形語法** (`使用 graph TD`)：指定 Mermaid 的圖形方向（從上到下）。**分組與層次結構** (`分組在 VPC 和可用區的子圖中`)：要求 AI 使用子圖 (subgraph) 來表示網路邊界和容錯域，使圖表更具結構性和可讀性。這對於繪製複雜的雲端架構至關重要。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.1 程式碼生成與演算法實作","生成遵循設計模式的程式碼","你是一位遵循 SOLID 原則的資深 Java 開發者。請使用工廠模式 (Factory Pattern) 來實現一個 `NotificationService`。這個工廠應該能夠根據輸入的類型（""EMAIL"", ""SMS"", ""PUSH""）創建對應的通知器實例 (`EmailNotifier`, `SmsNotifier`, `PushNotifier`)。所有通知器都應實現一個共同的 `Notifier` 介面，該介面有一個 `send(message)` 方法。請提供所有相關的介面和類別的完整程式碼。","**角色與原則** (`遵循 SOLID 原則的資深 Java 開發者`)：設定 AI 的角色和行為準則，引導其生成高品質、易於維護的程式碼。**指定設計模式** (`使用工廠模式`)：明確要求 AI 應用特定的軟體設計模式，這對於構建可擴展和模組化的系統至關重要。**提供完整上下文** (`提供所有相關的介面和類別`)：確保 AI 的輸出是完整且可運行的，而不僅僅是零碎的片段。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.1 程式碼生成與演算法實作","實作複雜的業務邏輯","請用 Python 實作一個處理購物車結帳的函式 `checkout(cart, user_id)`。邏輯應包含：1. 檢查 `cart` 中每項商品的庫存。2. 如果庫存不足，拋出一個自訂的 `OutOfStockError` 異常。3. 計算總金額，如果使用者是 VIP 會員，則給予 10% 的折扣。4. 呼叫一個虛構的 `PaymentGateway.charge(amount, card_details)` 服務。5. 如果支付失敗，需要處理支付閘道的異常並拋出 `PaymentFailedError`。6. 成功後，更新資料庫中的庫存。請包含完整的錯誤處理和日誌記錄。","**詳細的業務規則** (`邏輯應包含...`)：將複雜的業務需求分解為清晰、循序的步驟，引導 AI 準確實現。**強調錯誤處理** (`拋出一個自訂的...異常`, `處理...異常`)：這是生產級程式碼的關鍵。明確要求 AI 處理各種失敗情境，能生成更健壯的程式碼。**指定非功能性需求** (`日誌記錄`)：除了核心邏輯，還需指定如日誌、監控等非功能性需求。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.1 程式碼生成與演算法實作","將老舊程式碼翻譯並現代化","這裡有一段使用傳統 `XMLHttpRequest` 的 JavaScript 程式碼，用於發起一個 AJAX 請求。請將其重構為使用現代的 `async/await` 語法和 `fetch` API。重構後的程式碼應該包含 `try...catch` 區塊來處理網路錯誤和非 200 的 HTTP 狀態碼。請在程式碼中加入註解，解釋新舊寫法的主要區別。","**明確的轉換目標** (`重構為使用現代的 async/await 語法和 fetch API`)：清晰地定義轉換的起點和終點。**要求最佳實踐** (`包含 try...catch 區塊`)：確保轉換後的程式碼遵循現代的非同步程式設計最佳實踐。**教育性輸出** (`加入註解，解釋...區別`)：讓 AI 的輸出不僅是一個解決方案，也是一個學習工具，幫助開發者理解技術的演進。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.1 程式碼生成與演算法實作","根據自然語言描述生成特定功能的公用程式函式","請用 Python 編寫一個名為 `is_valid_email(email_string)` 的公用程式函式，它接受一個字串作為輸入，如果字串是有效的電子郵件地址格式則返回 `True`，否則返回 `False`。請考慮常見的郵件格式規則。","**需求到程式碼** (`根據自然語言描述`)：直接將功能需求轉化為可執行的程式碼。**通用性** (`公用程式函式`)：專注於生成可重用的、獨立的小型功能單元。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.1 程式碼生成與演算法實作","生成特定資料結構的操作程式碼 (例如，樹的遍歷、圖的搜尋)","假設我有一個二元樹節點類別 `TreeNode` (包含 `value`, `left_child`, `right_child` 屬性)，請為其實作一個深度優先搜尋 (DFS) 的前序遍歷函式 `preorder_traversal(root_node)`，並返回一個包含節點值的列表。","**演算法實作** (`深度優先搜尋`)：AI 應用其演算法知識生成標準實現。**資料結構操作** (`二元樹節點類別`)：針對特定資料結構的常見操作進行程式碼生成。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.2 AI 除錯與重構循環","解釋並除錯複雜程式碼","你是一位 Python 專家。這裡有一個函式，它理應計算斐波那契數列，但它的效能很差，而且在 n=0 時會出錯。請：1. 逐行解釋這段遞迴程式碼的邏輯。2. 指出其效能瓶頸（時間複雜度）和錯誤的原因。3. 提供一個使用動態規劃（備忘錄法）優化過的、修正了錯誤的版本。","**診斷與解釋** (`解釋...邏輯`, `指出...瓶頸和錯誤`)：要求 AI 不僅修復程式碼，還要解釋問題的根源，這有助於開發者學習並避免未來犯同樣的錯誤 [10]。**提供優化方案** (`提供一個使用動態規劃...的版本`)：指示 AI 應用特定的演算法知識來重構程式碼，以達到效能優化的目標。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.2 AI 除錯與重構循環","進行安全性程式碼審查","你是一位應用程式安全專家。請審查以下這段處理檔案上傳的 PHP 程式碼。你的任務是識別所有潛在的安全漏洞，例如：- 檔案類型未驗證導致的任意檔案上傳。- 未對使用者輸入進行過濾處理導致的路徑遍歷 (Path Traversal) 攻擊。- 任何其他可能的安全風險。請為每個發現的漏洞提供詳細的解釋和一個安全的、修正後的程式碼範例。","**安全專家角色** (`你是一位應用程式安全專家`)：引導 AI 從安全性的角度進行審查，利用其在大量安全漏洞案例上訓練出的知識。**針對性漏洞檢查** (`例如：...`)：提供具體的漏洞類型作為提示，可以幫助 AI 更專注地尋找特定類型的常見錯誤 [10]。**提供修復方案** (`提供...修正後的程式碼範例`)：確保輸出是可操作的，不僅僅是問題報告。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.2 AI 除錯與重構循環","重構以提高可讀性和可維護性","這段 C# 程式碼雖然功能正常，但可讀性很差：它使用了模糊的變數名，函式過長，並且缺乏註解。請將其重構，遵循 C# 的標準編碼規範。重構應包括：1. 使用有意義的變數名和函式名。2. 將長函式分解為多個較小的、單一職責的輔助函式。3. 添加適當的 XML 文件註解。","**關注程式碼品質** (`提高可讀性和可維護性`)：這類提示專注於軟體工程的「軟」技能，而不僅僅是功能正確性。**具體的重構指令** (`使用有意義的變數名`, `分解...函式`)：給出清晰的重構目標，引導 AI 進行結構性和風格上的改進。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.2 AI 除錯與重構循環","根據錯誤訊息和堆疊追蹤提出修復建議","我的 Python 程式拋出了以下 `TypeError`: `can only concatenate str (not \"int\") to str`。相關的程式碼片段是 `message = \"User ID: \" + user_id`，其中 `user_id` 是一個整數。請解釋錯誤原因並提供修正後的程式碼。","**錯誤分析** (`根據錯誤訊息和堆疊追蹤`)：AI 解讀執行時錯誤，定位問題。**精準修復** (`提供修正後的程式碼`)：提供直接可用的修復方案。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.2 AI 除錯與重構循環","識別程式碼中的「壞味道」(code smells) 並建議重構方向","請檢視以下這段 Java 程式碼，識別其中可能存在的程式碼壞味道，例如過長的函式、重複的程式碼塊、過於複雜的條件判斷等，並為每個壞味道提出重構建議。\n```java\n// [貼上程式碼片段]\n```","**品質評估** (`識別程式碼中的「壞味道」`)：AI 運用其對良好程式碼實踐的理解來發現潛在問題。**重構指導** (`建議重構方向`)：提供改進程式碼結構和品質的具體建議。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.3 自動化容器化","為 Node.js 應用生成優化的 Dockerfile","請為一個 Node.js/Express 應用程式生成一個生產環境可用的 `Dockerfile`。該檔案應遵循以下最佳實踐：1. 使用多階段建構：一個階段用於安裝依賴項和建構，另一個階段用於運行應用程式，以減小最終映像檔大小。2. 使用一個非 root 使用者來運行應用程式。3. 正確處理 `node_modules` 的快取。4. 使用 `CMD` 而非 `ENTRYPOINT` 來啟動伺服器。","**最佳實踐導向** (`遵循以下最佳實踐`)：明確列出業界公認的最佳實踐，引導 AI 生成高品質、安全且高效的 `Dockerfile` [11, 12]。**多階段建構** (`使用多階段建構`)：這是 Docker 優化的關鍵技術，要求 AI 應用此技術能顯著改善映像檔大小。**安全性考量** (`使用一個非 root 使用者`)：將安全性要求直接納入提示中。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.3 自動化容器化","為多服務應用生成 Docker Compose 檔案","請為一個包含三個服務的 Web 應用生成一個 `docker-compose.yml` 檔案：- 一個名為 `frontend` 的 React 應用，其 `Dockerfile` 位於 `./frontend` 目錄，並應將容器的 3000 連接埠映射到主機的 3000 連接埠。- 一個名為 `backend` 的 Python/Flask API，其 `Dockerfile` 位於 `./backend` 目錄，並依賴於 `db` 服務。- 一個名為 `db` 的 PostgreSQL 服務，使用官方的 `postgres:13` 映像檔，並需要一個名為 `pgdata` 的具名資料卷來持久化儲存資料。","**服務定義與依賴** (`包含三個服務`, `依賴於 db 服務`)：清晰地描述應用程式的組成部分及其關係，這是 `docker-compose` 的核心 [13]。**具體的設定** (`連接埠映射`, `資料卷`)：提供詳細的設定參數，使 AI 能生成準確且可直接使用的設定檔 [14]。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.3 自動化容器化","整合建構參數與環境變數","擴充先前的 `docker-compose.yml` 檔案。`backend` 服務需要從一個 `.env` 檔案中讀取環境變數，該檔案包含 `DATABASE_URL` 和 `API_KEY`。此外，`frontend` 服務的 `Dockerfile` 需要一個名為 `REACT_APP_API_URL` 的建構參數 (build argument)，其值應設定為 `http://backend:5000`。請更新 `docker-compose.yml` 檔案以包含這些設定。","**進階設定** (`環境變數`, `建構參數`)：展示如何使用 AI 處理更複雜的容器化場景，這些場景在實際開發中非常普遍。**配置外部化** (`從一個.env 檔案中讀取`)：要求 AI 遵循將配置與程式碼分離的最佳實踐。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.3 自動化容器化","為特定框架 (例如 Django, Ruby on Rails) 生成標準的 Dockerfile","請為一個使用 Gunicorn 運行的標準 Django 專案生成一個生產環境可用的 `Dockerfile`。應包含依賴項安裝、靜態檔案收集以及正確的啟動命令。","**框架特定知識** (`標準 Django 專案`)：AI 應用其對特定 Web 框架部署方式的了解。**生產最佳實踐** (`生產環境可用`)：引導 AI 生成符合生產部署要求的設定。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.3 自動化容器化","根據 Dockerfile 解釋其每個指令的用途和最佳實踐","請逐行解釋以下 `Dockerfile` 中每個指令（如 `FROM`, `WORKDIR`, `COPY`, `RUN`, `CMD`）的用途，並說明是否有可以改進的最佳實踐。\n```dockerfile\n# [貼上 Dockerfile 內容]\n```","**文件解釋與教學** (`解釋其每個指令的用途`)：AI 作為教學工具，幫助理解 Dockerfile 的構成。**最佳實踐審查** (`是否有可以改進的最佳實踐`)：AI 進行審查並提出改進建議。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.4 AI 輔助的行為驅動開發 (BDD)","從使用者故事生成 Gherkin feature 檔案","你是一位 BDD 專家。請基於以下使用者故事，為一個使用者註冊功能撰寫一個 Gherkin feature 檔案：『身為一位新訪客，我想要能夠註冊一個帳戶，以便我可以使用網站的會員功能。』請包含至少一個成功場景和一個帳號已存在導致失敗的場景。Feature 應包含背景 (Background) 設定通用步驟，例如『Given 我在註冊頁面』。","**角色扮演** (`你是一位 BDD 專家`)：引導 AI 以 BDD 的思維模式和標準語法進行撰寫。**需求轉化** (`基於以下使用者故事...`)：將自然語言的需求轉化為結構化的 Gherkin 語法。**場景多樣性** (`包含至少一個成功場景和一個...失敗的場景`)：確保 AI 考慮到不同的執行路徑，提升測試覆蓋的初步構想。**Gherkin 結構** (`Feature 應包含背景 (Background)`)：指示 AI 使用 Gherkin 的標準結構元素，如 `Feature`, `Background`, `Scenario`, `Given`, `When`, `Then`。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.4 AI 輔助的行為驅動開發 (BDD)","從 Gherkin 生成步驟定義 (step definition) 骨架","你是一位熟悉 [Python Behave / Java Cucumber / JavaScript Cucumber.js] 的測試自動化工程師。請根據以下 Gherkin 場景，為其生成對應的步驟定義 (step definition) 骨架程式碼。請為每個步驟生成一個函式/方法，並在其中包含一個提示註解，說明該步驟需要實現的邏輯。Gherkin 場景：\n```gherkin\nScenario: 成功的使用者登入\n  Given 我是一個已註冊的使用者，帳號為 \"testuser\" 密碼為 \"password123\"\n  When 我在登入頁面輸入我的帳號和密碼\n  And 我點擊登入按鈕\n  Then 我應該被重新導向到我的儀表板頁面\n  And 我應該看到歡迎訊息 \"歡迎回來, testuser!\"\n```","**特定框架** (`熟悉 [Python Behave / Java Cucumber / JavaScript Cucumber.js]`)：指定目標測試框架，讓 AI 生成符合該框架語法和裝飾器 (decorator/annotation) 的程式碼。**程式碼骨架** (`生成對應的步驟定義骨架程式碼`)：AI 負責生成樣板程式碼，開發者只需填充具體的實現邏輯。**註解引導** (`包含一個提示註解`)：AI 在骨架中加入註解，提示開發者每個步驟需要完成的自動化操作，加速開發過程。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.4 AI 輔助的行為驅動開發 (BDD)","為特定的 BDD 步驟生成程式碼片段","我正在使用 Selenium WebDriver with Java 和 Cucumber 為網站撰寫 BDD 測試。請為以下 Gherkin 步驟生成 Java 程式碼片段：`When 我在搜尋框中輸入 \"AI in software engineering\"`。假設 `WebDriver driver` 實例已經初始化，並且搜尋框的 HTML ID 是 `search-input`。","**具體步驟實現** (`為以下 Gherkin 步驟生成 Java 程式碼片段`)：針對單一的 BDD 步驟，要求 AI 生成實際的自動化互動程式碼。**上下文提供** (`假設 WebDriver driver 實例已經初始化`, `搜尋框的 HTML ID 是 search-input`)：提供必要的上下文資訊（如使用的工具、變數名、元素定位器），使 AI 生成的程式碼更準確、更易於整合。**工具特定 API** (`Selenium WebDriver with Java`)：AI 需要了解特定測試工具的 API 用法才能生成有效的程式碼。"
"第 3 節：加速實作 - AI 驅動的編碼與重構","3.4 AI 輔助的行為驅動開發 (BDD)","根據 Gherkin feature 檔案生成測試資料建議","分析以下 Gherkin feature 檔案，特別是 `Examples` 表格。請為每個場景輪廓 (Scenario Outline) 建議更全面的測試資料組合，以覆蓋更多邊界情況和等價類。\n```gherkin\n# [貼上 Gherkin feature 內容]\n```","**測試資料擴展** (`建議更全面的測試資料組合`)：AI 輔助思考更完整的測試覆蓋，特別是針對參數化的測試。**場景分析** (`分析以下 Gherkin feature 檔案`)：AI 需要理解 Gherkin 的語義來提出有效的資料建議。"
