ID,主類別,次類別,任務,範例提示 (Prompt),關鍵要素與原理
3.3-3,第 3 節：工具鏈整合與工作流革新,3.3 Google Jules (Gemini Code Assist) 實戰技巧,使用智能操作為函式生成單元測試,"在您的程式碼檔案中，完成或用滑鼠選取一個您想要測試的函式（例如：`def calculate_shipping_fee(...)`）。點擊該函式旁出現的「燈泡」圖示，或直接右鍵，選擇「Gemini: 產生測試 (Generate Tests)」。AI 會自動分析該函式的簽名、邏輯與回傳值。它會在 `tests/` 目錄下，建立一個對應的測試檔案（例如 `test_your_file.py`），並在其中生成使用 `pytest` 框架的、覆蓋了正常路徑與邊界條件的測試案例。",**智能操作**：IDE 深度整合，一鍵生成測試。**降低門檻**：極大降低實踐 TDD 和提升測試覆蓋率的成本。
3.3-4,第 3 節：工具鏈整合與工作流革新,3.3 Google Jules (Gemini Code Assist) 實戰技巧,使用智能操作為函式補全 Docstring,"選取一段缺乏文件註解的函式。在右鍵選單中，選擇「Gemini: 新增說明文件 (Add Documentation)」。AI 將會生成一段符合標準格式（例如 Google 風格或 reStructuredText）的完整 Docstring，精確地描述函式的功能、參數 (`Args`)、回傳值 (`Returns`)，甚至能根據程式碼邏輯，自動識別出可能拋出的錯誤 (`Raises`)。",**自動文件化**：AI 自動生成專業級 Docstring，提升程式碼可讀性。**標準化**：推行團隊文件規範，節省時間。
3.3-5,第 3 節：工具鏈整合與工作流革新,3.3 Google Jules (Gemini Code Assist) 實戰技巧,生成 Google Cloud Build 和 Cloud Run IaC,"`@googlecloud 我需要為目前這個 Python 專案撰寫一個`cloudbuild.yaml` 檔案。請幫我設定一個包含三個步驟的建置流程：\n\n1. 執行 `poetry install` 安裝依賴。\n2. 使用 Kaniko 建置 Docker 映像。\n3. 將建置好的映像推送到 Artifact Registry。\n\n另外，請再幫我產生一個部署到 Cloud Run 的 `service.yaml` 設定檔。服務需要 2 個 vCPU 和 4GiB 記憶體，並且需要設定一個環境變數 `DATABASE_URL`，其值必須從 **Secret Manager** 中，安全地讀取名為 `prod-db-connection-string` 的最新版密鑰。`",**深度雲端整合**：AI 精通 GCP 生態系，生成複雜的 IaC 配置。**自動化部署**：簡化雲端原生應用部署流程。
3.3-6,第 3 節：工具鏈整合與工作流革新,3.3 Google Jules (Gemini Code Assist) 實戰技巧,在 IDE 內分析 Cloud Run 錯誤日誌並提供修正建議,"在 VS Code 的「Cloud Code」面板中，直接串流查看您的 Cloud Run 或 GKE 服務的即時日誌。當您看到一條可疑的錯誤日誌時，直接用滑鼠選取該行日誌。在 Gemini 聊天視窗中，AI 會自動將該日誌作為上下文，您可以直接提問：\n\n`@googlecloud 我的 Cloud Run 服務剛才吐出了這條`KeyError: \'user_profile\'`的錯誤日誌。請對照我目前開啟的`main.py`檔案第 85 行附近的程式碼，分析這個錯誤發生的根本原因是什麼？是不是因為某個外部 API 回應的 JSON 結構改變了？請提供修正建議。`",**雲端日誌分析**：AI 將線上錯誤與本地程式碼關聯，提供高效除錯。**快速故障排除**：縮短從問題發現到解決的時間。
3.4-1,第 3 節：工具鏈整合與工作流革新,3.4 超越 IDE：運用 Playground 環境進行複雜原型設計,在 Playground 設計物流貨物分配演算法,"您需要為一個物流系統設計一套貨物分配演算法。規則非常複雜：需要考慮倉庫距離、貨車載重、交通狀況的即時權重、以及貨物的優先級。這種高度邏輯性的「思想實驗」，很難在 IDE 中透過註解或單次提問完成。\n\n**Playground 中的工作流**：\n\n1. **設定規則**：以自然語言清晰地定義問題的背景和所有約束條件。\n2. **提供範例 (Few-Shot)**：給出幾個簡單的貨物清單和理想的分配結果，讓 AI 學習您的分配邏輯。\n3. **迭代式探索**：透過連續提問來處理邊界條件。「如果 A 貨車中途拋錨，備用方案是什麼？」「如果 B 貨物的優先級突然提升，該如何動態調整路線？」\n4. **生成偽代碼**：當您與 AI 在邏輯上達成共識後，下達指令：「很好，根據我們以上的討論，請為這個分配邏輯生成一份詳細的偽代碼。」\n5. **生成最終程式碼**：審查並修改偽代碼後，最後一步才是：「現在，請將這份偽代碼完整地實作成一個名為 `LogisticsAllocator` 的 Python 類別。」",**Playground 優勢**：適用於開放、模糊、複雜的邏輯設計。**迭代探索**：透過多輪對話和範例，逐步精煉演算法。**原型設計**：從偽代碼到最終程式碼的逐步實現。
3.4-2,第 3 節：工具鏈整合與工作流革新,3.4 超越 IDE：運用 Playground 環境進行複雜原型設計,在 Playground 轉換和正規化非結構化客戶資料,"您需要處理一批從舊系統導出的、格式混亂的客戶資料文字檔。您需要從中提取出結構化的姓名、電話、地址，並統一格式。\n\n**Playground 中的工作流**：\n\n1. **定義任務與提供範例**：\n    \n    > `我將提供一些格式混亂的客戶資料。你的任務是從中提取 "name", "phone", "address" 三個欄位，並以 JSON 格式輸出。電話號碼需要統一為 "09XX-XXX-XXX" 的格式。\n    > \n    > ---\n    > \n    > ## **輸入 1**: "用戶: 陳大文, TEL: 0912345678, 住址: 台北市信義路五段7號" **輸出 1**: {\"name\": \"陳大文\", \"phone\": \"0912-345-678\", \"address\": \"台北市信義路五段7號\"}\n    > \n    > ## **輸入 2**: "李四/電話(0928) 123-456，他住在新竹市大學路1001號" **輸出 2**: {\"name\": \"李四\", \"phone\": \"0928-123-456\", \"address\": \"新竹市大學路1001號\"}\n    > \n    > 現在，請處理以下這筆新資料：\n    > \n    > \"王五先生，聯絡方式 0955.888.777，地址在高雄市...\"`\n    \n2. **調整與最佳化**：AI 的初版回答可能不完美，您可以透過編輯範例或新增更多邊界條件（例如沒有電話號碼的情況）來「訓練」它，直到它能穩定地產出您想要的結果。\n    \n3. **生成處理函式**：\n    \n    > `表現得很好。現在請將這個解析邏輯，封裝成一個名為`parse_customer_record`的 Python 函式。函式應接收一個字串作為輸入，回傳一個字典。請盡可能使用正規表示式來提高解析的準確度。`",**非結構化資料處理**：利用 Playground 處理格式混亂的資料，提取和正規化信息。**範例驅動**：透過提供輸入/輸出範例，訓練 AI 歸納模式。**迭代優化**：透過編輯和新增範例，提升解析準確度。
3.4-3,第 3 節：工具鏈整合與工作流革新,3.4 超越 IDE：運用 Playground 環境進行複雜原型設計,在 Playground 進行技術寫作和創意發想,"身為架構師，您需要撰寫一份技術白皮書、一篇介紹新技術的部落格文章、或是給高層的專案規劃簡報。這類任務需要創造力、清晰的結構和精準的措辭。\n\n**Playground 中的工作流**：\n\n1. **設定角色與風格 (System Instruction)**：「你是一位資深的技術佈道師，擅長用生動的比喻和清晰的結構來解釋複雜的技術概念。」\n2. **腦力激盪 (高溫)**：「我準備寫一篇關於『從 monolith 到 microservices 的演進』的文章，請提供 5 個吸引人的標題，並為每個標題附上三點大綱。」\n3. **草擬段落**：「請幫我展開『康威定律 (Conway\'s Law) 如何影響我們的組織與架構』這個段落，約 300 字。」\n4. **潤飾與精煉 (低溫)**：「這段文字不錯，但請讓語氣更具權威性，並將『strangler fig pattern』這個術語用一個更貼近生活的比喻來解釋。」",**創意寫作**：利用 Playground 進行技術文章、簡報的創意發想和內容生成。**參數控制**：透過溫度和系統指令控制 AI 的創意度和風格。**迭代精煉**：逐步完善內容，提升寫作品質。
3.5-1,第 3 節：工具鏈整合與工作流革新,3.5 打造個人化 AI 知識庫：沉澱與複用高效互動模式,生成 Python Poetry 專案的多階段 Dockerfile,"「請為一個使用 Poetry 的 Python 專案撰寫一個多階段 Dockerfile。\n\n1. **第一階段 (builder)**：使用 `python:3.12-slim` 作為基礎鏡像。複製 `pyproject.toml` 和 `poetry.lock` 檔案，然後安裝 Poetry 並執行 `poetry install --no-root --no-dev` 來安裝依賴。\n2. **第二階段 (final)**：同樣使用 `python:3.12-slim`。建立一個非 root 的使用者 `appuser`。從 `builder` 階段複製虛擬環境 `/venv` 到最終鏡像中。最後，複製應用程式原始碼，並設定 `CMD` 來啟動應用。\n3. 請確保檔案權限的設定是安全的。」",**知識庫沉澱**：記錄高效提示模板，便於未來複用。**多階段 Dockerfile**：生成優化鏡像大小和安全性的 Dockerfile。**精確指令**：提供詳細步驟和約束，確保生成內容符合需求。
3.5-2,第 3 節：工具鏈整合與工作流革新,3.5 打造個人化 AI 知識庫：沉澱與複用高效互動模式,將巢狀 if-else 重構為策略模式,"提供了原始的、充滿 `if/elif/else` 的 `calculate_fee` 函式程式碼。下達核心提示：「請使用**策略模式 (Strategy Pattern)** 來重構這段程式碼，讓未來新增支付方式時，不需要修改現有程式碼。」AI 一次性產出了包含 `FeeStrategy` 抽象基礎類別 (ABC)、`CreditCardStrategy`、`PayPalStrategy` 等具體策略類別，以及一個 `FeeCalculator` 上下文類別的完整、高品質程式碼。",**模式驅動重構**：明確指定設計模式，提升程式碼品質和可擴展性。**高效互動模式**：記錄成功的對話流程，便於未來複用。**開閉原則**：重構後程式碼符合開閉原則，易於擴展。
4.1-1,第 4 節：高階應用：架構設計與程式碼現代化,4.1 加速創新：從概念到可執行原型 (POC),為文字分析工具 POC 生成 Pydantic 資料模型,"「我正在建構一個文字分析工具。請使用 Pydantic 為我建立兩個資料模型：\n\n1. 請求模型 `AnalysisRequest`，包含一個欄位 `text: str`。\n2. 回應模型 `AnalysisResponse`，包含三個欄位：`summary: str`、`keywords: list[str]`、`sentiment: str`。」",**POC 生成**：快速生成原型核心組件。**資料模型定義**：使用 Pydantic 定義請求和回應資料結構。**加速創新**：快速驗證技術可行性與業務價值。
4.1-2,第 4 節：高階應用：架構設計與程式碼現代化,4.1 加速創新：從概念到可執行原型 (POC),為文字分析工具 POC 生成 FastAPI API 路由,"「很好。現在請使用 FastAPI 建立一個 API 端點 `/analyze`，HTTP 方法為 POST。它接收一個 `AnalysisRequest` 物件作為請求主體，並回傳一個 `AnalysisResponse` 物件。請先把核心的分析邏輯用一個回傳假資料的 `placeholder` 函式代替。」",**API 層生成**：基於資料模型生成 API 介面。**快速原型**：使用 placeholder 快速搭建 API 骨架。**加速開發**：縮短 POC 開發週期。
4.1-3,第 4 節：高階應用：架構設計與程式碼現代化,4.1 加速創新：從概念到可執行原型 (POC),為文字分析工具 POC 實作 AI 摘要與分析邏輯,"「接下來，請實作真正的核心邏輯。寫一個非同步函式 `analyze_text_with_ai`，它接收一段文字字串。在這個函式內部，請使用 `google.generativeai` 函式庫來呼叫 Gemini 模型，並用一個提示詞 (prompt) 來指示模型同時完成三件事：1. 生成文章的摘要。2. 提取 5 個關鍵字。3. 判斷文章的情緒是『正面』、『負面』還是『中性』。最後，將這三項結果組合成一個 `AnalysisResponse` 物件並回傳。」",**業務邏輯實作**：實作 POC 核心功能，呼叫 AI 模型。**多任務處理**：指示 AI 同時完成摘要、關鍵字和情緒分析。**AI 整合**：利用 `google.generativeai` 函式庫與 Gemini 模型互動。
4.1-4,第 4 節：高階應用：架構設計與程式碼現代化,4.1 加速創新：從概念到可執行原型 (POC),為文字分析工具 POC 生成 Streamlit 前端介面,"「請為我寫一個簡單的 Python Streamlit 應用程式。這個程式需要：\n\n1. 一個標題，例如「AI 文章分析工具」。\n2. 一個 `st.text_area` 讓使用者可以貼上長篇文章。\n3. 一個「開始分析」的按鈕。\n4. 當使用者點擊按鈕時，使用 `requests` 函式庫向本地運行的 FastAPI 後端（`http://127.0.0.1:8000/analyze`）發送 POST 請求。\n5. 成功獲取回應後，將摘要、關鍵字列表和情緒分析結果優雅地顯示在頁面上。」",**前端介面生成**：生成簡單的 Streamlit UI。**快速互動**：提供文字輸入和結果展示。**前後端連線**：使用 `requests` 呼叫後端 API。
4.2-1,第 4 節：高階應用：架構設計與程式碼現代化,4.2 LLM 輔助系統設計：從高層次概念到 API 合約,設計診所線上預約系統並分析架構優劣,"「我需要設計一個診所的線上預約系統。核心需求包括：病患可以查看不同醫生的可預約時段、進行線上預約、以及取消預約。醫生需要能夠管理自己的班表與可預約時間。系統還需要在預約前一天自動發送提醒。我們的團隊規模不大，但希望未來系統能有好的擴展性。請為我分析一下，採用『微服務架構』和『模組化單體 (Modular Monolith) 架構』各自的優缺點。」",**需求釐清**：以自然語言描述高層次需求和約束。**腦力激盪**：AI 提出不同架構風格的優劣分析。**發散思考**：探索設計可能性空間。
4.2-2,第 4 節：高階應用：架構設計與程式碼現代化,4.2 LLM 輔助系統設計：從高層次概念到 API 合約,拆解診所線上預約系統模組並定義職責,"「分析得很好。考量到我們團隊初期的開發效率，我們先採用『模組化單體』架構，但內部模組邊界要清晰，以便未來拆分成微服務。請幫我拆解出這個系統需要的核心模組，並描述每個模組的職責。」",**組件拆解**：AI 根據選定架構拆解服務或模組。**職責定義**：明確每個模組的功能和職責。**單一職責原則**：確保模組符合 SRP，便於未來擴展。
4.2-3,第 4 節：高階應用：架構設計與程式碼現代化,4.2 LLM 輔助系統設計：從高層次概念到 API 合約,為診所線上預約系統生成預約時序圖,"「針對『病患成功預約一個時段』這個核心使用者故事，請使用 Mermaid.js 的 sequenceDiagram 語法，描述從前端應用到後端各個模組之間的互動流程。」",**時序圖生成**：AI 生成基於文本的時序圖，描述組件互動。**溝通效率**：提升文件品質和溝通效率。**Mermaid.js**：使用標準圖表語言，易於生成和版本控制。
4.2-4,第 4 節：高階應用：架構設計與程式碼現代化,4.2 LLM 輔助系統設計：從高層次概念到 API 合約,為診所線上預約系統生成預約 API OpenAPI 規格,"「非常好。現在，請根據剛剛的時序圖，為『預約模組』中處理預約的端點，產生一份 OpenAPI 3.0 的 YAML 規格。這個端點的路徑是 POST /appointments。請詳細定義其請求主體 (requestBody)、各種回應 (responses) 的結構，包括成功 (201) 與客戶端錯誤 (400) 的情況。同時，也請提供對應的 Python Pydantic 模型。」",**API 合約生成**：AI 生成 OpenAPI 規格和 Pydantic 模型。**精確規格**：將非正式流程轉化為機器可讀的 API 契約。**前後端協作**：促進團隊並行開發，縮短週期。
